epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1912,4.22031,6.49029,2.56373,0,0,0,0,2.40993,6.03806,2.0458,4e-05,4e-05,4e-05
2,28.0427,2.49782,5.11852,2.07181,0.00067,0.2,0.00051,0.00026,2.26569,5.5219,1.88169,9.802e-05,9.802e-05,9.802e-05
3,39.643,2.70794,4.67784,1.93671,0.00133,0.4,0.00179,0.00054,2.22522,5.52154,1.82723,0.000153664,0.000153664,0.000153664
4,50.4063,2.02567,4.32744,1.4634,0.00133,0.4,0.00645,0.00119,2.14912,5.22657,1.81438,0.000206932,0.000206932,0.000206932
5,60.7147,1.7663,4.42595,1.41928,0.002,0.6,0.19655,0.02041,1.97034,5.01027,1.80304,0.000257824,0.000257824,0.000257824
6,71.4857,1.62149,3.69947,1.32247,0.002,0.6,0.19655,0.0595,1.83745,4.67066,1.65187,0.00030634,0.00030634,0.00030634
7,81.6284,2.04628,3.8608,1.65032,0.002,0.6,0.19657,0.03999,1.57053,5.01841,1.48795,0.00035248,0.00035248,0.00035248
8,92.0677,1.50325,3.1161,1.21596,0.002,0.6,0.1966,0.02043,1.67177,5.31956,1.48539,0.000396244,0.000396244,0.000396244
9,102,2.05555,4.36831,1.35446,0.00333,1,0.10073,0.02106,1.81506,5.26088,1.4656,0.000437632,0.000437632,0.000437632
10,112.053,1.1535,5.32227,0.90562,0.00333,1,0.02143,0.00515,1.62694,5.10617,1.46844,0.000476644,0.000476644,0.000476644
11,122.214,1.56369,2.69276,1.42653,0.00333,1,0.00475,0.00179,1.62162,5.05942,1.52705,0.00051328,0.00051328,0.00051328
12,132.044,1.74174,2.87625,1.32441,0.00333,1,0.00454,0.00163,1.81713,4.93137,1.73323,0.00054754,0.00054754,0.00054754
13,142.049,1.4294,2.97165,1.22266,0.00333,1,0.00433,0.00113,1.92395,5.15182,1.88805,0.000579424,0.000579424,0.000579424
14,151.868,1.84125,2.59801,1.35918,0.00133,0.4,0.00113,0.00029,1.70168,5.54438,1.90139,0.000608932,0.000608932,0.000608932
15,161.568,1.61976,2.65895,1.26498,0.00133,0.4,0.00113,0.00029,1.70168,5.54438,1.90139,0.000636064,0.000636064,0.000636064
16,171.349,1.85223,4.67087,1.48151,0.002,0.6,0.00201,0.00029,1.79843,5.44573,1.91062,0.00066082,0.00066082,0.00066082
17,181.473,1.3845,4.76964,1.06534,0.002,0.6,0.00193,0.00034,1.79374,5.37459,1.8923,0.0006832,0.0006832,0.0006832
18,191.01,1.24852,2.26258,1.09399,0.002,0.6,0.00193,0.00034,1.79374,5.37459,1.8923,0.000703204,0.000703204,0.000703204
19,200.905,1.58655,2.12797,1.26748,0.00133,0.4,0.00114,0.00034,1.89124,4.99539,1.8716,0.000720832,0.000720832,0.000720832
20,210.603,1.80734,2.57362,1.47082,0.002,0.6,0.002,0.00086,1.70937,4.81369,1.7485,0.000736084,0.000736084,0.000736084
21,220.373,1.70839,2.37373,1.2435,0.002,0.6,0.002,0.00086,1.70937,4.81369,1.7485,0.00074896,0.00074896,0.00074896
22,230.113,1.65963,3.05969,1.52902,0.002,0.6,0.00204,0.0007,1.77387,4.71295,1.7287,0.00075946,0.00075946,0.00075946
23,247.019,1.47485,2.95915,1.26874,0.002,0.6,0.00204,0.0007,1.77387,4.71295,1.7287,0.000767584,0.000767584,0.000767584
24,256.595,1.51443,2.20521,1.2004,0.002,0.6,0.00412,0.00231,2.00701,4.93611,1.67178,0.000773332,0.000773332,0.000773332
25,266.959,1.61381,2.42141,1.1434,0.002,0.6,0.00412,0.00231,2.00701,4.93611,1.67178,0.000776704,0.000776704,0.000776704
26,278.494,1.77568,2.61907,1.22232,0.00133,0.4,0.00377,0.00224,1.87496,4.70144,1.59331,0.0007777,0.0007777,0.0007777
27,289.353,1.59936,2.40409,1.13999,0.00133,0.4,0.00377,0.00224,1.87496,4.70144,1.59331,0.00077632,0.00077632,0.00077632
28,299.492,1.56682,1.98412,1.18112,0.00133,0.4,0.32874,0.1182,1.84872,4.50298,1.58243,0.000772564,0.000772564,0.000772564
29,309.578,1.52806,2.2939,1.12108,0.00133,0.4,0.32874,0.1182,1.84872,4.50298,1.58243,0.000766432,0.000766432,0.000766432
30,320.372,1.76286,2.15699,1.17972,0.00133,0.4,0.32874,0.1182,1.84872,4.50298,1.58243,0.000757924,0.000757924,0.000757924
31,330.286,1.37263,2.45637,1.06562,1,0.36493,0.39582,0.15781,1.86968,4.34744,1.64208,0.00074704,0.00074704,0.00074704
32,340.387,1.35187,2.51193,1.17935,1,0.36493,0.39582,0.15781,1.86968,4.34744,1.64208,0.00073378,0.00073378,0.00073378
33,350.459,1.32882,1.90292,1.08838,0.98722,0.4,0.39588,0.20684,1.87047,4.07884,1.6006,0.000718144,0.000718144,0.000718144
34,360.578,0.87203,3.73927,0.73031,0.98722,0.4,0.39588,0.20684,1.87047,4.07884,1.6006,0.0006932,0.0006932,0.0006932
35,370.667,1.26567,2.11283,1.09959,0.98722,0.4,0.39588,0.20684,1.87047,4.07884,1.6006,0.0006536,0.0006536,0.0006536
36,380.917,1.66103,2.54002,1.51018,1,0.38263,0.39635,0.17767,1.87614,3.9074,1.52386,0.000614,0.000614,0.000614
37,390.948,1.31789,1.87961,1.15016,1,0.38263,0.39635,0.17767,1.87614,3.9074,1.52386,0.0005744,0.0005744,0.0005744
38,401.545,1.28302,2.71432,1.22275,1,0.38263,0.39635,0.17767,1.87614,3.9074,1.52386,0.0005348,0.0005348,0.0005348
39,416.981,1.51918,1.76931,1.11044,1,0.38237,0.39597,0.19741,1.76692,3.88538,1.48038,0.0004952,0.0004952,0.0004952
40,437.564,1.19968,2.1298,1.16571,1,0.38237,0.39597,0.19741,1.76692,3.88538,1.48038,0.0004556,0.0004556,0.0004556
41,457.885,1.54342,3.4942,1.44075,0.8659,0.4,0.39599,0.15791,1.71611,3.86757,1.48202,0.000416,0.000416,0.000416
42,470.513,0.92626,4.15544,0.79502,0.8659,0.4,0.39599,0.15791,1.71611,3.86757,1.48202,0.0003764,0.0003764,0.0003764
43,483.009,0.90509,4.69365,0.84884,0.8659,0.4,0.39599,0.15791,1.71611,3.86757,1.48202,0.0003368,0.0003368,0.0003368
44,493.117,1.54036,2.71424,1.3721,0.77458,0.4,0.39642,0.10347,1.65897,3.86532,1.499,0.0002972,0.0002972,0.0002972
45,503.177,1.43408,2.51718,1.32469,0.77458,0.4,0.39642,0.10347,1.65897,3.86532,1.499,0.0002576,0.0002576,0.0002576
46,516.794,1.47389,2.50016,1.23023,0.77458,0.4,0.39642,0.10347,1.65897,3.86532,1.499,0.000218,0.000218,0.000218
47,536.739,1.28075,2.20149,1.05603,0.56178,0.4,0.32992,0.1076,1.70025,3.83848,1.47052,0.0001784,0.0001784,0.0001784
48,555.463,1.32466,2.4649,1.14112,0.56178,0.4,0.32992,0.1076,1.70025,3.83848,1.47052,0.0001388,0.0001388,0.0001388
49,573.747,1.52301,2.4377,1.15961,0.59358,0.4,0.32983,0.10447,1.73642,3.87709,1.47391,9.92e-05,9.92e-05,9.92e-05
50,584.739,1.40466,2.45534,1.10683,0.59358,0.4,0.32983,0.10447,1.73642,3.87709,1.47391,5.96e-05,5.96e-05,5.96e-05
